Date,Open,High,Low,Close,Volume
5/23/2017,20908.67,20961.14,20896.22,20937.91,65564112
5/24/2017,20949.21,21022.82,20933.58,21012.42,73849528
5/25/2017,21062.96,21112.32,21051.41,21082.95,67988328
5/26/2017,21070.15,21092.82,21050.49,21080.28,56526068
5/30/2017,21045.49,21063.62,21009.6,21029.47,65408856
5/31/2017,21048.46,21051.7,20942.57,21008.65,135215376
6/1/2017,21030.55,21144.18,20994.22,21144.18,76950608
6/2/2017,21142.09,21225.04,21129.56,21206.29,96353776
6/5/2017,21195.03,21224.41,21168.69,21184.04,65856332
6/6/2017,21145.48,21180.47,21118.46,21136.23,79186592
6/7/2017,21171.57,21189.84,21113.31,21173.69,80769608
6/8/2017,21169.76,21265.69,21138.16,21182.53,96877968
6/9/2017,21208.96,21305.35,21159.45,21271.97,120385848
6/12/2017,21259.95,21277.08,21186.15,21235.67,135223008
6/13/2017,21256.83,21332.77,21256.83,21328.47,89255192
6/14/2017,21342.71,21391.97,21294.09,21374.56,83202464
6/15/2017,21291.69,21367.28,21261.87,21359.9,87151632
6/16/2017,21335.93,21384.42,21308.01,21384.28,288559840
6/19/2017,21444.75,21528.99,21436.08,21528.99,88364704
6/20/2017,21521.25,21535.03,21464.24,21467.14,83752008
6/21/2017,21466.39,21492.62,21390,21410.03,77553288
6/22/2017,21407.98,21456.47,21394.81,21397.29,78152248
6/23/2017,21380.92,21421.79,21333.89,21394.76,143179792
6/26/2017,21434.68,21506.21,21381.25,21409.55,68340344
6/27/2017,21411.19,21440.6,21310.66,21310.66,84487632
6/28/2017,21372.36,21478.75,21372.36,21454.61,76134408
6/29/2017,21487.38,21487.38,21197.08,21287.03,96138744
6/30/2017,21348.6,21426.12,21325.08,21349.63,100731784
7/3/2017,21392.3,21562.75,21391.71,21479.27,57803632
7/5/2017,21492.83,21505.36,21404.76,21478.17,79561424
7/6/2017,21423.93,21433.1,21305.38,21320.04,88100928
7/7/2017,21354.66,21425.82,21350.72,21414.34,72678784
7/10/2017,21381.23,21446.39,21371.11,21408.52,72627776
7/11/2017,21410.17,21441.62,21279.3,21409.07,70282976
7/12/2017,21467.93,21580.79,21467.93,21532.14,81783272
7/13/2017,21537.19,21568.72,21512.36,21553.09,69468632
7/14/2017,21532.77,21681.53,21521.72,21637.74,66008224
7/17/2017,21633.97,21661.81,21617.66,21629.72,70534032
7/18/2017,21589.94,21589.94,21471.14,21574.73,63976184
7/19/2017,21569.25,21640.75,21565.84,21640.75,69055776
7/20/2017,21641.54,21661.91,21576.96,21611.78,85281760
7/21/2017,21591.72,21592.61,21503.78,21580.07,109708544
7/24/2017,21577.78,21577.78,21496.13,21513.17,88378704
7/25/2017,21638.56,21670.62,21577.37,21613.43,83556792
7/26/2017,21690.38,21742.7,21683.29,21711.01,70726000
7/27/2017,21717.42,21798.47,21687.85,21796.55,111254848
7/28/2017,21787.51,21841.18,21756.12,21830.31,72970192
7/31/2017,21863.39,21929.8,21861.71,21891.12,103845792
8/1/2017,21961.42,21990.96,21940.81,21963.92,81196352
8/2/2017,22004.36,22036.1,21967.46,22016.24,89832472
8/3/2017,22007.58,22044.85,21991.32,22026.1,71271056
8/4/2017,22058.39,22092.81,22024.64,22092.81,73643272
8/7/2017,22100.2,22121.15,22081.97,22118.42,59559020
8/8/2017,22095.14,22179.11,22057.29,22085.34,67845640
8/9/2017,22022.34,22057.19,21996.69,22048.7,70957104
8/10/2017,21988.2,21988.2,21843.94,21844.01,85167168
8/11/2017,21883.32,21911.09,21842.74,21858.32,69862728
8/14/2017,21945.64,22019.23,21945.64,21993.71,70864824
