Week of,Weekly#ofTweets,TweetsBWeekChg(%),SPBWeekChg(%),SPWWeekChg(%),DJBWeekChg(%),DJWWeekChg(%),WeeklySPVolume,WeeklyDJVolume
9/1/2018 - 9/7/2018,86,-1%,-0.4%,2.7%,0.3%,2.6%,2184382304,330557256
9/8/2018 - 9/14/2018,121,41%,0.6%,2.6%,0.2%,3.6%,2500112768,379385404
9/15/2018 - 9/21/2018,114,-6%,0.1%,2.6%,1.3%,3.2%,4002897216,672106688
9/22/2018 - 9/28/2018,53,-54%,-0.6%,2.3%,-1.4%,2.8%,2199575136,312031128
9/29/2018 - 10/5/2018,63,19%,-1.5%,4.3%,-0.6%,4.5%,2739739648,388736760
10/6/2018 - 10/12/2018,83,32%,-4.8%,9.5%,-5.1%,10.1%,3471489632,567647920
10/13/2018 - 10/19/2018,98,18%,-0.5%,7.0%,0.5%,6.8%,2953511936,466799296
10/20/2018 - 10/26/2018,83,-15%,-2.1%,11.0%,-1.8%,10.2%,3700666771,591052484
10/27/2018 - 11/2/2018,88,6%,0.3%,10.1%,0.8%,10.0%,4020131873,633744693
11/3/2018 - 11/9/2018,132,50%,2.0%,4.9%,2.6%,5.2%,2993967617,468711826
11/10/2018 - 11/16/2018,56,-58%,-1.3%,9.2%,-2.0%,9.5%,3478155204,551978453
11/17/2018 - 11/23/2018,57,2%,-2.3%,4.7%,-2.6%,4.7%,2293794422,363846157
11/24/2018 - 11/30/2018,71,25%,4.3%,6.2%,5.0%,7.0%,3398098330,548891435
12/1/2018 - 12/7/2018,69,-3%,-3.9%,10.1%,-3.9%,10.2%,3244862721,524851977
12/8/2018 - 12/14/2018,55,-20%,-2.5%,8.5%,-2.3%,8.8%,3283137153,532293179
12/15/2018 - 12/21/2018,86,56%,-7.0%,14.8%,-7.0%,14.5%,5847243461,1055059448
12/22/2018 - 12/28/2018,60,-30%,3.8%,12.9%,3.9%,13.0%,2633013108,457187490
12/29/2018 - 1/4/2019,63,5%,2.2%,7.6%,2.2%,8.0%,2802738870,457921966
1/5/2019 - 1/11/2019,73,16%,2.2%,6.0%,1.9%,5.8%,3152913241,475337323
1/12/2019 - 1/18/2019,86,18%,2.9%,4.8%,2.7%,5.2%,3217247015,480937347
1/19/2019 - 1/25/2019,110,28%,-0.7%,4.4%,-0.8%,4.6%,2578621810,400853960
1/26/2019 - 2/1/2019,73,-34%,1.7%,5.0%,1.1%,4.7%,3384288034,553256001
2/2/2019 - 2/8/2019,32,-56%,1.1%,4.2%,1.2%,4.2%,2842757886,410353799
2/9/2019 - 2/15/2019,71,122%,1.5%,3.5%,2.1%,4.7%,2881915570,424451369
2/16/2019 - 2/22/2019,73,3%,0.8%,2.4%,0.7%,2.3%,2138152340,310085499
2/23/2019 - 3/1/2019,76,4%,0.0%,3.0%,-0.4%,3.3%,3006213585,430230150
3/2/2019 - 3/8/2019,104,37%,-1.8%,4.8%,-2.1%,5.4%,2847352011,395046623
3/9/2019 - 3/15/2019,105,1%,2.2%,3.6%,2.4%,4.8%,4158483634,684084045
3/16/2019 - 3/22/2019,108,3%,-0.5%,5.7%,-0.7%,5.5%,3190618050,516853934
3/23/2019 - 3/29/2019,65,-40%,0.2%,4.5%,0.4%,4.5%,2672283360,426606137
3/30/2019 - 4/5/2019,67,3%,1.0%,2.8%,1.1%,2.9%,2516739405,358435836
4/6/2019 - 4/12/2019,91,36%,0.3%,2.2%,-0.3%,2.5%,2238919432,330143255
4/13/2019 - 4/19/2019,100,10%,-0.8%,2.3%,0.1%,1.9%,2149822236,338890872
4/20/2019 - 4/26/2019,141,41%,1.3%,3.2%,0.8%,2.9%,2592238108,383153384
4/27/2019 - 5/3/2019,153,9%,-0.2%,3.9%,-0.7%,3.7%,2752133417,409025583
5/4/2019 - 5/10/2019,155,1%,0.8%,7.6%,0.5%,7.9%,2732642564,444340054
5/11/2019 - 5/17/2019,178,15%,1.3%,6.4%,1.4%,6.2%,2716242277,454959618
5/18/2019 - 5/24/2019,144,-19%,-0.4%,3.7%,-0.2%,3.7%,2395850579,374450679
5/25/2019 - 5/31/2019,102,-29%,-1.7%,3.8%,-2.3%,4.2%,2489573859,389379006
6/1/2019 - 6/7/2019,107,5%,2.8%,5.8%,3.2%,5.5%,2842182645,418193081
6/8/2019 - 6/14/2019,140,31%,-0.5%,3.2%,-0.4%,3.3%,2346967757,315014922
6/15/2019 - 6/21/2019,114,-19%,0.7%,3.4%,1.2%,3.9%,3468682356,561309975
6/22/2019 - 6/28/2019,113,-1%,-1.1%,3.0%,-0.9%,2.6%,3172924855,510763208
6/29/2019 - 7/5/2019,117,4%,0.9%,2.9%,0.6%,2.9%,1646646348,241505097
7/6/2019 - 7/12/2019,168,44%,0.8%,2.4%,1.4%,2.9%,2154682160,308311707
7/13/2019 - 7/19/2019,154,-8%,-1.5%,3.3%,-0.7%,2.6%,2328344842,324051170
7/20/2019 - 7/26/2019,158,3%,1.2%,2.9%,0.2%,2.7%,2410882220,330224181
7/27/2019 - 8/2/2019,137,-13%,-2.4%,6.2%,-2.4%,6.5%,2959203691,432953474
8/3/2019 - 8/9/2019,101,-26%,0.8%,8.9%,0.5%,9.0%,3142573411,488612530
8/10/2019 - 8/16/2019,157,55%,-0.2%,7.4%,-0.6%,7.9%,2824290950,432801994
8/17/2019 - 8/23/2019,184,17%,-2.7%,6.1%,-1.8%,6.2%,2479439075,381955941
8/24/2019 - 8/30/2019,158,-14%,0.6%,5.2%,0.8%,5.4%,2419515645,346102990
8/31/2019 - 9/6/2019,231,46%,0.8%,2.6%,0.4%,2.7%,1920139511,267071095
9/7/2019 - 9/13/2019,173,-25%,0.5%,3.4%,1.0%,3.2%,2684068481,397868332
9/14/2019 - 9/20/2019,150,-13%,-0.1%,3.4%,-0.6%,3.7%,3566296786,547994232
9/21/2019 - 9/27/2019,187,25%,-1.4%,5.7%,-1.1%,4.9%,2515223301,387749887
9/28/2019 - 10/4/2019,248,33%,-0.4%,7.2%,-0.7%,7.0%,2530194652,390028573
10/5/2019 - 10/11/2019,291,17%,0.1%,4.8%,0.8%,4.9%,2335838559,346062087
10/12/2019 - 10/18/2019,180,-38%,0.3%,3.1%,0.1%,3.5%,2337289696,352998378
10/19/2019 - 10/25/2019,240,33%,0.7%,2.9%,0.0%,3.3%,2365476053,349870264
10/26/2019 - 11/1/2019,213,-11%,0.7%,2.9%,0.7%,3.5%,2584061147,375140274
11/2/2019 - 11/8/2019,185,-13%,0.2%,2.3%,0.4%,2.3%,2681646934,372400711
11/9/2019 - 11/15/2019,267,44%,1.2%,2.6%,1.6%,3.0%,2243100793,352789682
11/16/2019 - 11/22/2019,230,-14%,-0.5%,2.7%,-0.6%,2.6%,2686156613,348949995
11/23/2019 - 11/29/2019,125,-46%,0.8%,1.6%,0.5%,1.5%,2208226650,304831552
11/30/2019 - 12/6/2019,173,38%,-0.2%,3.4%,-0.7%,3.7%,2534954483,352275442
12/7/2019 - 12/13/2019,429,148%,0.9%,3.3%,0.7%,3.6%,2482293846,352248411
12/14/2019 - 12/20/2019,308,-28%,0.4%,1.6%,-0.1%,2.1%,4160788698,639654049
12/21/2019 - 12/27/2019,134,-56%,0.1%,1.2%,0.2%,1.2%,1291017792,201645117
12/28/2019 - 1/1/2020,100,-25%,-0.1%,1.4%,-0.2%,1.4%,776583404,123924972
